uid,username,followers,post,comments,created at,hasZhuYilong
6898061312,朔涵君,156334,重启之极海听雷：全网一上架就大爆，还是南派三叔亲自担任总编剧#夏日刷片季# #电影种草官# #朱一龙重启之极海听雷# http://t.cn/A6yWOhnT ​,72,07-16,是
3838343442,黄俊捷H,5287840,8⃣️点#重启之极海听雷##微博剧场# ​,5659,15小时前,否
6384922287,重启之极海听雷官微,527689,#重启特效#制作特辑上线！一起和宠虫欣赏这场视觉盛宴吧！最还原的现场，最精致的细节～重启的惊悚很下饭！[中国赞]来@优酷 @爱奇艺 天黑不要闭眼！#重启之极海听雷#  http://t.cn/A6y1dAVX ​,2425,15小时前,否
1237869662,南派三叔,12494713,#重启之极海听雷[超话]# 我又出来玩梗了。这是第三个梗，希望大家喜欢。#吴邪善良#  #吴邪大战皮俑# ​,10563,14小时前,否
2963139592,黛妖幺,160,#朱一龙重启之极海听雷# ⚡#朱一龙无邪# ⚡#重启之极海听雷# 我太喜欢朱一龙和陈明昊两人演戏的感觉了，两人的日常互动，互怼演的太自然了。都是好演员啊！相互都能接住对方的戏。他们演的时候也很过瘾吧！ ​,0,刚刚,是
3913787978,雪停后的诺言,162,#朱一龙重启之极海听雷# ⚡ #朱一龙吴邪# 鼠年打卡第二百零四天！昨天那么重要的一天，我竟然睡着了[允悲]连续签到520！朱一龙先生平安健康诸事顺利@朱一龙 ​,0,刚刚,是
6980591130,开心的头发丝儿,10736,#朱一龙吴邪# [太开心]#朱一龙重启之极海听雷# [太开心]#重启之极海听雷#  朱一龙  把思绪放在这些抽象的作品上面，让大脑换一种运转的方式。休息不是彻底停止，我想阅读另一种故事，起承转合有了另一种呈现，原因和结果重新排列，我就可以听见更多声音。  @朱一龙 ​,0,刚刚,是
2882570771,蓝雨衣祝朱一龙0416生日快乐,874,#朱一龙吴邪# 🌟#朱一龙重启之极海听雷# 🌟#重启之极海听雷# 🌟 #重启#  看不清人心明暗 真假 用余生来寻一个 解答 归零后重启天地 肃杀 再十年风雨 也不畏路寡  朱一龙重启之极海听雷吴邪小三爷吴邪@朱一龙   ​​​,0,刚刚,是
6463070874,-雪落迟-,1705,图一是回答为什么会有腰伤，以及武戏尽量自己来的原因。为了更好的展现角色情绪和把想要表达的东西表达得更加完全。  太多的伤和苦都是之后我们从旁人嘴里得知的，他本人永远都是第一时间说「没事、没关系、演员有点伤痛是正常的」。  他敬业和我们心疼他并不冲突，心疼他吃的苦受的伤和过往经历的种种 ​,0,1分钟前,否
7192923197,俺是火锅馅的小笼包,391,#吴邪大战皮俑# ⭐ #朱一龙重启之极海听雷# ⭐ #重启之极海听雷# ⭐ #朱一龙吴邪#   吴邪大战皮俑，这段看的真的太刺激太精彩了  铁三角默契配合联手逃生！  还有经典的名场面这一段，  人皮俑小姐姐拉着吴邪一起上去  画面真的太唯美了[笑cry]，  朱一龙吴邪，朱一龙重启之极海听雷@朱一龙  ​,1,1分钟前,是
1980581861,火锅味的红老板,848,#朱一龙重启之极海听雷# 🔦#重启之极海听雷# [憧憬] #朱一龙吴邪# 😉 #朱一龙重启#话说我昨晚和老铁一起看的重启😂😂😂😂然后，老铁说“这个哑巴村的婆婆也太惨了😂从开始到最后还都一直呆萌呆萌的😂虽然惨但看到就好想笑”  @朱一龙 ​,1,1分钟前,是
6980591130,开心的头发丝儿,10736,#重启之极海听雷# [太开心]#朱一龙重启之极海听雷# [太开心]#朱一龙吴邪#  如果有一天我死了，我希望是在路上[泪][泪][泪] 朱一龙@朱一龙 http://t.cn/A6yBFQCO ​,0,1分钟前,是
6049304407,理娱打挺疼,5815468,#理娱打挺疼# 盗墓剧又双叒叕上线了！这次，向我们走来的是朱一龙主演的《重启之极海听雷》。在“IP＋流量”约等于被骂预定的今天，《重启》却收获了一水儿的好评。来，今天的挺疼演技大赏就带你专赏朱一龙，不被流量标签拖累的好演技究竟是怎样炼成的？ http://t.cn/A6yBc4vD ​,3326,11小时前,是
6575665211,朱一龙后援打投站,304931,#朱一龙重启之极海听雷# 💪#朱一龙吴邪# 💪#重启之极海听雷#   签到投票投分，一个都不能少，饭前来点一点，前后差距都不大，基础数据一定要跟上！  朱一龙重启 @朱一龙 ​,34,14分钟前,是
6049304407,理娱打挺疼,5815468,#理娱打挺疼# 盗墓剧又双叒叕上线了！这次，向我们走来的是朱一龙主演的《重启之极海听雷》。在“IP＋流量”约等于被骂预定的今天，《重启》却收获了一水儿的好评。来，今天的挺疼演技大赏就带你专赏朱一龙，不被流量标签拖累的好演技究竟是怎样炼成的？ http://t.cn/A6yBc4vD ​,3326,11小时前,是
